KIC,Huber_Teff,Huber_e_Teff,Huber_logg,Huber_e_logg,Huber_MH,Huber_e_MH,TESS_Teff,TESS_e_Teff,TESS_logg,TESS_e_logg,TESS_MH,TESS_e_MH
7188393,5587,195,4.901,0.4,-0.161,-0.161,5472.65,113.25,4.62125,nan,-0.156,0.108
8949252,5237,155,4.515,0.4,-0.161,-0.161,5170.0,122.0,4.69059,nan,nan,nan
4244274,5060,156,2.676,0.03,-0.14,-0.14,4860.53,78.2526,nan,nan,-0.271031,0.00852247
6666031,6755,236,4.216,0.4,-0.32,-0.32,6377.35,102.799,3.90572,0.0805706,-0.221538,0.00857703
10090246,5708,173,4.662,0.4,-0.045,-0.045,5974.27,39.86,3.31514,nan,0.046,0.038
6183311,5058,152,2.445,0.03,-0.224,-0.224,4862.2,84.015,nan,nan,-0.135161,0.008266
8579864,5683,172,4.753,0.4,-0.467,-0.467,5769.0,123.0,4.31273,nan,nan,nan
10123627,4543,134,4.484,0.4,-1.067,-1.067,4593.0,125.0,4.21148,nan,nan,nan
9449403,5814,203,4.403,0.4,0.235,0.235,5443.0,122.0,4.39359,nan,nan,nan
10777082,5759,169,4.335,0.4,-0.032,-0.032,5529.0,122.0,4.48759,nan,nan,nan
6783433,6444,210,4.442,0.4,-0.115,-0.115,6104.0,122.0,3.8998,nan,nan,nan
12215411,4962,154,2.445,0.03,-0.069,-0.069,4659.0,122.0,nan,nan,nan,nan
6344730,5910,175,4.282,0.4,0.022,0.022,5651.3,293.91,4.07444,nan,0.167,0.272
7515550,6267,188,4.491,0.4,-0.285,-0.285,5888.0,122.0,4.34155,nan,nan,nan
8129057,6289,197,4.597,0.4,-0.084,-0.084,6032.74,51.29,4.30373,nan,0.061,0.049
4931115,5564,163,4.816,0.4,-0.228,-0.228,5452.0,123.0,4.26999,nan,nan,nan
11869365,5529,171,4.824,0.4,0.147,0.147,nan,nan,nan,nan,nan,nan
8329169,5806,203,3.712,0.4,-0.512,-0.512,6836.0,123.0,3.85329,nan,nan,nan
9073261,6256,218,4.287,0.4,-0.1,-0.1,6392.0,139.714,4.2497,0.0916521,0.113579,0.0176817
5780388,5011,144,4.289,0.4,0.044,0.044,4875.0,122.0,nan,nan,nan,nan
10980330,5190,155,4.667,0.4,0.095,0.095,4955.0,123.0,4.49225,nan,nan,nan
10979181,4684,139,1.932,0.03,0.244,0.244,4429.55,59.6839,nan,nan,0.0897609,0.00785522
